Entity-cleaned,Entity,Compensation,Expenses,entity_type,fips,City,County,State
Algona,City Of Algona,"$18,000.00 ",$0.00 ,CITIES,5301290,Algona,,WA
Arlington,City Of Arlington,"$13,687.50 ",$0.00 ,CITIES,5302585,Arlington,,WA
Auburn,City Of Auburn,"$1,900.00 ",$0.00 ,CITIES,5303180,Auburn,,WA
Battle Ground,City Of Battle Ground,"$12,000.00 ",$0.00 ,CITIES,5304475,Battle Ground,,WA
Bellevue,City Of Bellevue,"$19,000.00 ",$0.00 ,CITIES,5305210,Bellevue,,WA
Bellingham,City Of Bellingham,"$5,733.32 ","$4,332.68 ",CITIES,5305280,Bellingham,,WA
Burien,City Of Burien,"$18,000.00 ",$0.00 ,CITIES,5308850,Burien,,WA
College Place,City Of College Place,"$2,000.00 ",$0.00 ,CITIES,5313855,College Place,,WA
Covington,City Of Covington,"$7,166.68 ",$0.00 ,CITIES,5315290,Covington,,WA
Edmonds,City Of Edmonds,"$16,540.00 ",$0.00 ,CITIES,5320750,Edmonds,,WA
Everett,City Of Everett,"$40,200.00 ","$1,099.55 ",CITIES,5322640,Everett,,WA
Federal Way,City Of Federal Way,"$22,000.00 ",$490.00 ,CITIES,5323515,Federal Way,,WA
Fife,City Of Fife,"$11,200.00 ",$861.47 ,CITIES,5323795,Fife,,WA
Gig Harbor,City Of Gig Harbor,"$13,333.32 ",$0.00 ,CITIES,5326735,Gig Harbor,,WA
Issaquah,City Of Issaquah,"$16,000.00 ","$1,045.69 ",CITIES,5333805,Issaquah,,WA
Kenmore,City Of Kenmore,"$14,000.00 ",$0.00 ,CITIES,5335170,Kenmore,,WA
Kennewick,City Of Kennewick,"$14,000.00 ",$397.94 ,CITIES,5335275,Kennewick,,WA
Kent,City Of Kent,"$22,000.00 ","$1,128.93 ",CITIES,5335415,Kent,,WA
Kirkland,City Of Kirkland,"$17,000.00 ",$0.00 ,CITIES,5335940,Kirkland,,WA
La Center,City Of La Center,"$9,000.00 ","$6,588.50 ",CITIES,5336710,La Center,,WA
Lacey,City Of Lacey,"$16,000.00 ",$0.00 ,CITIES,5336745,Lacey,,WA
Lake Stevens,City Of Lake Stevens,"$1,687.50 ",$0.00 ,CITIES,5337900,Lake Stevens,,WA
Lakewood,City Of Lakewood,"$12,000.00 ",$0.00 ,CITIES,5338038,Lakewood,,WA
Longview,City Of Longview,"$16,000.00 ",$0.00 ,CITIES,5340245,Longview,,WA
Maple Valley,City Of Maple Valley,"$10,000.00 ",$0.00 ,CITIES,5343150,Maple Valley,,WA
Marysville,City Of Marysville,"$16,687.50 ",$0.00 ,CITIES,5343955,Marysville,,WA
Mercer Island,City Of Mercer Island,"$8,000.00 ",$0.00 ,CITIES,5345005,Mercer Island,,WA
Mountlake Terrace,City Of Mountlake Terrace,"$13,333.32 ",$0.00 ,CITIES,5347490,Mountlake Terrace,,WA
Olympia,City Of Olympia,"$1,710.00 ",$0.00 ,CITIES,5351300,Olympia,,WA
Omak,City Of Omak,"$6,000.00 ",$0.00 ,CITIES,5351340,Omak,,WA
Pasco,City Of Pasco,"$12,600.00 ",$0.00 ,CITIES,5353545,Pasco,,WA
Port Orchard,City Of Port Orchard,"$12,000.00 ",$0.00 ,CITIES,5355785,Port Orchard,,WA
Puyallup,City Of Puyallup,"$15,733.32 ","$1,103.38 ",CITIES,5356695,Puyallup,,WA
Quincy,City Of Quincy,"$2,812.50 ",$403.71 ,CITIES,5357115,Quincy,,WA
Redmond,City Of Redmond,"$20,952.00 ","$1,112.81 ",CITIES,5357535,Redmond,,WA
Renton,City Of Renton,"$18,400.00 ","$1,125.14 ",CITIES,5357745,Renton,,WA
Richland,City Of Richland,"$10,800.00 ",$48.73 ,CITIES,5358235,Richland,,WA
Ridgefield,City Of Ridgefield,"$12,000.00 ",$0.00 ,CITIES,5358410,Ridgefield,,WA
Seatac,City Of Seatac,"$7,000.00 ",$0.00 ,CITIES,5362288,Seatac,,WA
Seattle,City Of Seattle,"$126,504.00 ","$11,588.00 ",CITIES,5363000,Seattle,,WA
Shelton,City Of Shelton,"$14,000.00 ",$0.00 ,CITIES,5363735,Shelton,,WA
Shoreline,City Of Shoreline,"$25,900.00 ",$0.00 ,CITIES,5363960,Shoreline,,WA
Snohomish,City Of Snohomish,"$1,687.50 ",$0.00 ,CITIES,5365170,Snohomish,,WA
Spokane,City Of Spokane,"$19,250.00 ",$0.00 ,CITIES,5367000,Spokane,,WA
Spokane Valley,City Of Spokane Valley,"$12,333.32 ",$0.00 ,CITIES,5367167,Spokane Valley,,WA
Tacoma,City Of Tacoma,"$64,600.00 ","$9,500.00 ",CITIES,5370000,Tacoma,,WA
Vancouver,City Of Vancouver,"$33,024.00 ",$0.00 ,CITIES,5374060,Vancouver,,WA
Walla Walla,City Of Walla Walla,"$2,000.00 ",$0.00 ,CITIES,5375775,Walla Walla,,WA
Yakima,City Of Yakima,"$8,000.00 ",$0.00 ,CITIES,5380010,Yakima,,WA
Yelm,City Of Yelm,"$16,000.00 ",$0.00 ,CITIES,5380220,Yelm,,WA
Asotin County,Asotin County,$750.00 ,$0.00 ,COUNTIES,53003,,Asotin County,WA
Clark County,Clark County,"$18,900.00 ",$0.00 ,COUNTIES,53011,,Clark County,WA
Ferry County,Ferry Co Commission,"$11,400.00 ",$0.00 ,COUNTIES,53019,,Ferry County,WA
Franklin County,Franklin County,"$1,000.00 ",$0.00 ,COUNTIES,53021,,Franklin County,WA
Grant County,Grant County,"$1,200.00 ",$0.00 ,COUNTIES,53025,,Grant County,WA
Jefferson County  ,Jefferson County  ,"$13,000.00 ",$0.00 ,COUNTIES,53031,,Jefferson County  ,WA
King County,King County,"$90,159.00 ","$6,495.00 ",COUNTIES,53033,,King County,WA
Klickitat County,Klickitat County,"$1,400.00 ",$0.00 ,COUNTIES,53039,,Klickitat County,WA
