"report_id","date_time","police_beat","street_no","street_dir","street_name","street_type","cross_st_dir","cross_st_name","cross_st_type","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"600121","2016-01-01 00:01:00","113","4300"," ","CLAIREMONT","DRIVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600128","2016-01-01 00:01:00","524","600"," ","E","STREET"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"600072","2016-01-01 00:56:00","437","0"," ","BRIARWOOD","ROAD"," ","PARADISE VALLEY","ROAD","21801A","VC","LEFT TURN YIELD UNTIL SAFE OR U-TURN","1","0","MISDEMEANOR"
"600061","2016-01-01 00:59:00","434","8300"," ","JAMACHA","ROAD"," "," "," ","21755","VC","PASS ON THE RIGHT SAFELY","0","0","MISDEMEANOR"
"600260","2016-01-01 01:30:00","122","4700"," ","MISSION","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"600097","2016-01-01 02:11:00","122","1400"," ","GARNET","AVENUE"," "," "," ","21954A","VC","PEDESTRIANS OUTSIDE CROSSWALKS","1","0",""
"600083","2016-01-01 02:22:00","813","0"," ","ILLINOIS","STREET"," ","UNIVERSITY","AVENUE","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","3","0",""
"600126","2016-01-01 03:55:00","627","900"," ","ROBINSON","AVENUE"," "," "," ","21460A","VC","DRIVING TO LEFT OF DOUBLE SOLID LINES","0","0","MISDEMEANOR"
"600148","2016-01-01 04:06:00","627","4000"," ","DOVE","STREET"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","0","0",""
"600086","2016-01-01 05:24:00","821","4200"," ","BONILLO","DRIVE"," "," "," ","23152A","VC","DUI ALCOHOL AND/OR DRUGS","0","0",""
"600052","2016-01-01 09:00:00","834","3600"," ","41ST","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"600107","2016-01-01 10:15:00","231","11600"," ","SPRINGSIDE","ROAD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0",""
