username,date,text
@fox5sandiego,Aug 27,UCSD ranked 7th best school in US by Washington Monthly 
@KamaFaye,Sep 1,it physically pains me that UCSD doesn’t have a football team
@team10news_CA,Sep 2,A card mis-judged a parking space and over-ran a parking lot in the process taking out about about 40 to 50 feet of chain-link fence this morning at the Nobel apartments in the UCSD area.  Around 9:10 AM I... https://www.facebook.com/JAMIESCOTTmobile/posts/2177799288905402 …
@SapnaKmd,Sep 2,Almost 50% increase in #PedsICU engagement from last week & >1000 tweets!👌🏽Special shoutout to @DrKanaris for the new Friday #PedsICU quiz tradition & @UCSD_PICU for the great #meded! @healthhashtags #medtwitter
@kabeerthirty,Aug 27T,here’s a tinge of classism in saying SDSU should make do with its 283 acres while UCSD accommodates roughly the same number of students on its idyllic 2141-acre campus
@KNBKSoshihan,Sep 2,This past weekend we observed the 25th anniversary of the UCSD Iaido club in San Diego. The training was dedicated to our past teachers. 
@jessiejpg,Aug 29,I HATE UCSD SO MUCH THEYRE SO ANNOYING OHHHHH MY GOD
@Juanickers,Aug 29,LMFAOOO UCSD JUST CALLED ME ASKING IF I COULD MAKE A $250 (T W O HUNDRED FIFTY DOLLAR) DONATION LIKE BITCH HOW BOUT YOU PAY ME
@savvymunoz,Aug 31,I chose UCSD because it has the best fb meme group
@Yokwellzy,Aug 31,High key excited to be going back to UCSD 💙💛
@clairewineland,Aug 26,OMG!! Got THE CALL for lungs at 5:30am! Waiting at UCSD to make sure they are a go..if so I could have new lungs TODAY!! 😂😂🦋 #cysticfibrosis #trandplanttime
@caitvw,Aug 31,Did ya’ll know I was initially waitlisted at MIT and straight up rejected from UCSD for grad school. Just in case you were thinking about giving up.
@sdut,Sep 1,UCSD women's soccer wins home opener as McManus eats pizza http://dlvr.it/Qhr6Qp 
@alphajoystan,Aug 28,i can’t believe that in a month summer manar and i will all being going to the same school... ucsd? more like tumblr university
@UCSDnews,Aug 27,@UCSanDiego named No.1 public university in the nation by  Washington Monthly for its contributions to social mobility research and public service. @washmonthly #ucsd #TritonPride http://ow.ly/TKnC30lzFBs 
@HenryWa38828162,Aug 28,USC rejected me and UCSD accepted me so disappointed.
@ucsdbe,Sep 2,Summer's winding down ... how many new UCSD Bioengineering students become alums this coming year? Good luck to you guys!
@ACHPRPICU,Sep 1,I can’t seem to find a good time to remind everyone that the inaugural #PedsICU Journal Club will commence on Sept. 18 at 7 central time. 10 pm on a Saturday isn’t it but I’ll RT later. 
@ghicelanne,Sep 1,UCSD REINSTATED ME IT’S MODELO TIME
@UCSDTrauma,Sep 2,Great opportunity to take the ATOM & ASSET trauma courses at the the @CFS_UCSD facility during #AAST2018 #wtc2018 at @UCSDsurgery 
